id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1212097138813537484,Beltipo apartment,429191218,Βασίλης-Νταιάνα,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.000979747319526,23.730160919261664,Entire home/apt,20,2,2,2024-09-04,1.30,2,349,2,00002828647
1212135181522476103,Exceptional Living Loft 204,20104194,Upstreet,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95823236356231,23.727907899204144,Entire home/apt,56,2,2,2024-08-29,1.18,124,5,2,00002829150
1212200009666954840,Exceptional Living Loft 602,20104194,Upstreet,,ΝΕΟΣ ΚΟΣΜΟΣ,37.956214419797824,23.725918228919685,Entire home/apt,74,2,2,2024-09-04,1.58,124,7,2,00002829266
1212203986832232809,Athens Heart Stay 1BR Apartment in Koukaki,20104194,Upstreet,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9656896,23.7264359,Entire home/apt,59,2,7,2024-09-15,4.57,124,312,7,00002566524
1212245405293078154,Athens Penthouse Boutique Aparthotel Suite No 2,431468257,Κωνσταντίνος,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9819262,23.7298238,Private room,216,1,0,,,11,356,0,1364564
1212259973768402072,Tranquil 2BR Apartment with Acropolis view,20104194,Upstreet,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95608,23.72758,Entire home/apt,71,2,5,2024-09-18,5,124,311,5,00002498871
1212261396239897737,Sam's apartment in Athens 可看卫城,231015869,辰忻,,ΠΟΛΥΓΩΝΟ,37.9994065,23.7540819,Entire home/apt,46,2,1,2024-08-04,0.59,1,361,1,00002829957
1212329557339689445,Majestic Penthouse w/ Acropolis View,31290848,Nasos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9773449,23.726207,Entire home/apt,201,2,13,2024-09-15,7.65,72,319,13,00002829527
1212503620490057531,Άνεση και Στυλ στο Dionysos Suites,584302505,Vasileios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9782857,23.7291421,Entire home/apt,110,1,0,,,1,355,0,00002837776
1212698659242531608,Acropolis Echoes Apartment,554613795,Maria,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9670125,23.7250327,Private room,74,1,0,,,1,342,0,00002769279
1212731320410286918,Pallada,568348492,Holidu,,ΠΑΤΗΣΙΑ,38.00843659573026,23.738139265142788,Entire home/apt,82,1,0,,,2,365,0,00002559982
1212767295173904877,Athens Central Lux Suites 4,497715782,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976794384608226,23.73168261309923,Entire home/apt,100,2,3,2024-09-04,2.09,4,175,3,00002831117
1212810802124057526,Thissio Skyline Bliss,517850149,Andreas,,ΘΗΣΕΙΟ,37.9764969,23.7156703,Entire home/apt,114,2,4,2024-09-15,3.08,1,308,4,00002754537
1212889704696029167,Experience Elegant City Living,439960564,Lucas,,ΚΕΡΑΜΕΙΚΟΣ,37.982872784643305,23.71575014068698,Entire home/apt,118,2,5,2024-09-21,5,26,320,5,00002898839
1212895940927791704,sigma thiseio,538704182,Sigma,,ΘΗΣΕΙΟ,37.97609059966698,23.71511028650817,Entire home/apt,84,1,2,2024-09-05,2,4,365,2,00504755853
1212944951292377100,Penthouse Suite with Hot Tub,487941851,The Newel Metaxourgeio,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98744,23.72327,Private room,339,1,0,,,5,355,0,1264471
1213006098022948302,Acropolis Muses - Polymnia,349458522,TravelStaytion,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9772,23.72951,Entire home/apt,141,2,0,,,15,217,0,00002831568
1213006128456518839,Acropolis Muses - Terpsichori,349458522,TravelStaytion,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97636,23.72887,Entire home/apt,199,2,1,2024-08-17,0.79,15,211,1,00002831573
1213073464558116506,apartment with good view in the center of athens,592034831,Awad,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9639665,23.728739,Entire home/apt,88,1,0,,,2,365,0,00002825944
1213517712246170639,Compass Lofts Athens / West,554794360,Ελινα,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97943229274678,23.726135439398753,Entire home/apt,115,1,0,,,2,355,0,
1213523991739286999,Charming 6th floor apartment,74496305,Veronique,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9826,23.72288,Entire home/apt,67,2,1,2024-09-18,1,1,296,1,00002833434
1213549616315175495,Athens DAR : Cozy apartment with balcony,482752817,HAUSolutions,,ΠΕΤΡΑΛΩΝΑ,37.9720425,23.7107477,Entire home/apt,61,1,0,,,19,357,0,00002832862
1213565318942914526,Villa Anna under Acropolis,593482601,Athanasios,,ΑΚΡΟΠΟΛΗ,37.97228,23.71849,Entire home/apt,271,2,1,2024-08-25,1,1,19,1,00002772179
1213591295354433356,*Kosmos Residence* Luxurious Apartment in Athens,591399489,Lagoumitzi,,ΝΕΟΣ ΚΟΣΜΟΣ,37.9562845,23.7246899,Entire home/apt,64,1,0,,,7,324,0,00002783308
1213624670040498969,Athens Penthouse Boutique Aparthotel Suite No 3,431468257,Κωνσταντίνος,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98142,23.73053,Private room,216,1,0,,,11,359,0,1364564
1213634052497661681,Athens Penthouse Boutique Aparthotel Suite No 4,431468257,Κωνσταντίνος,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9819262,23.7298238,Private room,216,1,0,,,11,354,0,1364564
1213638951276091624,urban retreat,593501755,Gheorghe,,ΝΙΡΒΑΝΑ,38.009735470117505,23.723976127803326,Entire home/apt,40,2,1,2024-09-09,1,1,68,1,00002838188
